OD(m),t(m),currentTop,currentBottom,toptension,depth(m),coverage,buoyThick,log(OMFD),MAPE
0.340336167,0.011625115,2.25912112,0.27279667,1887.146976,523.3283223,0.5,0.330147465,2.31386722,20.55309269
0.224911745,0.013434255,1.412959184,0.132283944,2633.329315,1459.232436,0.5,0.330147465,0.521138084,44.04388786
0.31560657,0.00939216,2.283982127,0.227066423,1252.606358,952.0392308,0.5,0.330147465,2.62324929,23.28058163
0.288448413,0.016432443,2.208625582,0.054075127,3356.697045,1132.950392,0.5,0.330147465,1.710963119,7.759595939
0.162677303,0.008307267,0.930432652,0.106340302,2421.087149,576.5106566,0.5,0.330147465,-1.232844134,25.63169005
0.354399723,0.008814215,2.476054421,0.124449443,3972.123358,1227.266796,0.5,0.330147465,2.093421685,13.18687313
0.183234353,0.016887313,2.684556047,0.390728486,2470.14026,853.3678883,0.5,0.330147465,2.113943352,30.21364661
0.250578362,0.007082685,0.514636883,0.153368991,4057.426908,637.1354083,0.5,0.330147465,-2.821023053,7.868818257
0.217673096,0.015545311,1.937778142,0.062086152,4252.464511,1187.414854,0.5,0.330147465,0.705007959,25.40357362
0.215509103,0.012810466,1.121770616,0.032503266,1934.890273,1032.436806,0.5,0.330147465,0.167317335,7.512498326
0.403021633,0.010543634,2.607109331,0.41507641,2627.937893,1032.243679,0.5,0.330147465,2.541579244,28.81599512
0.320477286,0.013393343,0.468870016,0.020484051,5022.025511,1419.865533,0.5,0.330147465,-3.031050319,13.53435785
0.236708791,0.010485642,2.422940391,0.171683139,629.9850162,779.3868534,0.5,0.330147465,2.908485019,32.67427417
0.208106748,0.011577858,1.574210974,0.209031016,4783.678099,1463.771174,0.5,0.330147465,-0.039053804,23.13405317
0.491863723,0.010161349,2.501923525,0.175237985,1898.21317,922.9215311,0.5,0.330147465,2.802089258,29.96311124
0.492090419,0.018493109,2.69126337,0.155724352,4802.913997,1359.21097,0.5,0.330147465,2.290034611,0.062474877
0.176303212,0.009096489,1.042840463,0.032878854,4251.437482,640.2014381,0.5,0.330147465,-1.485452247,4.703166672
0.178579282,0.008896398,1.693603945,0.003482556,2619.506685,1498.415297,0.5,0.330147465,0.86569606,23.86258354
